Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
2/01/2018;2.260,00;2.200,00;2.265,00;2.175,00;13,14M;2,26%
3/01/2018;2.350,00;2.270,00;2.350,00;2.255,00;14,14M;3,98%
4/01/2018;2.460,00;2.350,00;2.460,00;2.340,00;24,57M;4,68%
5/01/2018;2.500,00;2.460,00;2.510,00;2.400,00;20,33M;1,63%
9/01/2018;2.555,00;2.500,00;2.555,00;2.460,00;26,20M;2,20%
10/01/2018;2.535,00;2.560,00;2.625,00;2.535,00;32,01M;-0,78%
11/01/2018;2.425,00;2.535,00;2.545,00;2.420,00;34,65M;-4,34%
12/01/2018;2.375,00;2.420,00;2.420,00;2.335,00;27,09M;-2,06%
15/01/2018;2.335,00;2.345,00;2.355,00;2.315,00;2,95M;-1,68%
16/01/2018;2.420,00;2.320,00;2.440,00;2.315,00;32,13M;3,64%
17/01/2018;2.465,00;2.420,00;2.490,00;2.410,00;26,87M;1,86%
18/01/2018;2.475,00;2.445,00;2.485,00;2.425,00;17,18M;0,41%
19/01/2018;2.465,00;2.475,00;2.475,00;2.440,00;14,97M;-0,40%
22/01/2018;2.590,00;2.465,00;2.605,00;2.465,00;28,05M;5,07%
23/01/2018;2.705,00;2.595,00;2.705,00;2.595,00;26,58M;4,44%
24/01/2018;2.800,00;2.700,00;2.850,00;2.700,00;30,95M;3,51%
25/01/2018;2.745,00;2.810,00;2.860,00;2.690,00;33,40M;-1,96%
26/01/2018;2.760,00;2.740,00;2.785,00;2.725,00;12,04M;0,55%
29/01/2018;2.775,00;2.740,00;2.775,00;2.720,00;15,12M;0,54%
30/01/2018;2.700,00;2.745,00;2.770,00;2.680,00;14,50M;-2,70%
31/01/2018;2.660,00;2.700,00;2.730,00;2.655,00;25,36M;-1,48%
1/02/2018;2.770,00;2.655,00;2.770,00;2.655,00;25,62M;4,14%
2/02/2018;2.665,00;2.755,00;2.755,00;2.650,00;14,51M;-3,79%
5/02/2018;2.485,00;2.650,00;2.650,00;2.465,00;30,39M;-6,75%
6/02/2018;2.500,00;2.450,00;2.540,00;2.340,00;41,85M;0,60%
7/02/2018;2.430,00;2.510,00;2.520,00;2.420,00;26,25M;-2,80%
8/02/2018;2.335,00;2.420,00;2.445,00;2.335,00;27,94M;-3,91%
9/02/2018;2.445,00;2.325,00;2.480,00;2.315,00;37,45M;4,71%
12/02/2018;2.420,00;2.445,00;2.515,00;2.420,00;18,17M;-1,02%
13/02/2018;2.385,00;2.405,00;2.425,00;2.365,00;8,52M;-1,45%
14/02/2018;2.500,00;2.375,00;2.500,00;2.350,00;25,34M;4,82%
15/02/2018;2.490,00;2.455,00;2.545,00;2.455,00;19,78M;-0,40%
16/02/2018;2.485,00;2.485,00;2.535,00;2.455,00;16,52M;-0,20%
19/02/2018;2.480,00;2.480,00;2.495,00;2.475,00;2,26M;-0,20%
20/02/2018;2.485,00;2.490,00;2.520,00;2.465,00;17,64M;0,20%
21/02/2018;2.475,00;2.490,00;2.510,00;2.465,00;16,58M;-0,40%
22/02/2018;2.565,00;2.485,00;2.600,00;2.485,00;19,29M;3,64%
23/02/2018;2.625,00;2.570,00;2.630,00;2.570,00;16,84M;2,34%
26/02/2018;2.655,00;2.630,00;2.665,00;2.620,00;17,07M;1,14%
27/02/2018;2.630,00;2.665,00;2.675,00;2.620,00;20,94M;-0,94%
28/02/2018;2.510,00;2.665,00;2.735,00;2.505,00;31,37M;-4,56%
1/03/2018;2.480,00;2.500,00;2.520,00;2.435,00;20,28M;-1,20%
2/03/2018;2.480,00;2.445,00;2.510,00;2.440,00;8,13M;0,00%
5/03/2018;2.510,00;2.500,00;2.530,00;2.480,00;11,84M;1,21%
6/03/2018;2.505,00;2.510,00;2.535,00;2.505,00;14,06M;-0,20%
7/03/2018;2.450,00;2.500,00;2.505,00;2.450,00;11,80M;-2,20%
8/03/2018;2.475,00;2.450,00;2.475,00;2.415,00;10,04M;1,02%
9/03/2018;2.505,00;2.490,00;2.520,00;2.475,00;15,77M;1,21%
12/03/2018;2.480,00;2.505,00;2.530,00;2.465,00;9,26M;-1,00%
13/03/2018;2.505,00;2.480,00;2.520,00;2.480,00;16,55M;1,01%
14/03/2018;2.505,00;2.510,00;2.515,00;2.495,00;8,49M;0,00%
15/03/2018;2.535,00;2.500,00;2.555,00;2.500,00;18,24M;1,20%
16/03/2018;2.590,00;2.540,00;2.605,00;2.530,00;33,45M;2,17%
20/03/2018;2.670,00;2.600,00;2.680,00;2.600,00;19,75M;3,09%
21/03/2018;2.750,00;2.680,00;2.750,00;2.675,00;28,63M;3,00%
22/03/2018;2.620,00;2.715,00;2.735,00;2.615,00;22,94M;-4,73%
23/03/2018;2.700,00;2.630,00;2.730,00;2.630,00;24,12M;3,05%
26/03/2018;2.775,00;2.690,00;2.780,00;2.675,00;14,26M;2,78%
27/03/2018;2.645,00;2.780,00;2.810,00;2.635,00;16,07M;-4,68%
28/03/2018;2.615,00;2.605,00;2.640,00;2.580,00;11,98M;-1,13%
2/04/2018;2.690,00;2.645,00;2.750,00;2.645,00;17,64M;2,87%
3/04/2018;2.730,00;2.700,00;2.745,00;2.690,00;13,11M;1,49%
4/04/2018;2.740,00;2.710,00;2.765,00;2.665,00;16,78M;0,37%
5/04/2018;2.740,00;2.740,00;2.770,00;2.740,00;11,54M;0,00%
6/04/2018;2.730,00;2.735,00;2.750,00;2.690,00;8,84M;-0,36%
9/04/2018;2.745,00;2.740,00;2.790,00;2.725,00;14,31M;0,55%
10/04/2018;2.790,00;2.785,00;2.810,00;2.775,00;16,22M;1,64%
11/04/2018;2.980,00;2.780,00;2.990,00;2.780,00;28,63M;6,81%
12/04/2018;2.955,00;2.990,00;3.050,00;2.885,00;20,20M;-0,84%
13/04/2018;2.835,00;2.885,00;2.920,00;2.820,00;14,19M;-4,06%
16/04/2018;2.760,00;2.830,00;2.860,00;2.760,00;11,16M;-2,65%
17/04/2018;2.870,00;2.760,00;2.890,00;2.755,00;27,45M;3,99%
18/04/2018;2.935,00;2.880,00;3.020,00;2.880,00;36,42M;2,26%
19/04/2018;3.030,00;2.950,00;3.035,00;2.940,00;29,26M;3,24%
20/04/2018;3.030,00;3.000,00;3.045,00;2.980,00;17,86M;0,00%
23/04/2018;3.085,00;3.000,00;3.085,00;2.990,00;16,79M;1,82%
24/04/2018;3.060,00;3.095,00;3.145,00;3.030,00;26,20M;-0,81%
25/04/2018;3.045,00;3.060,00;3.080,00;2.945,00;20,32M;-0,49%
26/04/2018;3.010,00;3.065,00;3.090,00;3.010,00;16,65M;-1,15%
27/04/2018;3.070,00;3.000,00;3.070,00;3.000,00;7,17M;1,99%
30/04/2018;3.100,00;3.060,00;3.120,00;3.035,00;16,58M;0,98%
2/05/2018;3.105,00;3.060,00;3.135,00;3.055,00;12,94M;0,16%
3/05/2018;3.095,00;3.100,00;3.145,00;3.075,00;16,03M;-0,32%
4/05/2018;3.095,00;3.140,00;3.180,00;3.095,00;19,54M;0,00%
7/05/2018;3.030,00;3.120,00;3.150,00;3.020,00;8,97M;-2,10%
8/05/2018;3.085,00;3.045,00;3.095,00;2.955,00;27,49M;1,82%
9/05/2018;3.160,00;3.100,00;3.180,00;3.100,00;16,12M;2,43%
10/05/2018;3.100,00;3.165,00;3.170,00;3.095,00;16,11M;-1,90%
11/05/2018;3.135,00;3.100,00;3.155,00;3.085,00;10,27M;1,13%
15/05/2018;3.290,00;3.145,00;3.315,00;3.145,00;24,35M;4,94%
16/05/2018;3.205,00;3.280,00;3.310,00;3.185,00;17,89M;-2,58%
17/05/2018;3.170,00;3.225,00;3.260,00;3.170,00;15,79M;-1,09%
18/05/2018;3.150,00;3.160,00;3.215,00;3.150,00;8,56M;-0,63%
21/05/2018;3.125,00;3.150,00;3.205,00;3.115,00;8,98M;-0,79%
22/05/2018;3.110,00;3.125,00;3.155,00;3.100,00;8,59M;-0,48%
23/05/2018;3.025,00;3.100,00;3.105,00;3.025,00;13,70M;-2,73%
24/05/2018;3.075,00;3.010,00;3.085,00;2.955,00;21,05M;1,65%
25/05/2018;2.955,00;3.050,00;3.050,00;2.930,00;23,12M;-3,90%
28/05/2018;2.900,00;2.940,00;2.940,00;2.855,00;5,46M;-1,86%
29/05/2018;3.030,00;2.925,00;3.075,00;2.890,00;30,22M;4,48%
30/05/2018;3.120,00;3.050,00;3.130,00;3.020,00;17,78M;2,97%
31/05/2018;3.090,00;3.090,00;3.145,00;3.090,00;31,99M;-0,96%
1/06/2018;3.110,00;3.080,00;3.125,00;3.070,00;11,86M;0,65%
5/06/2018;3.080,00;3.080,00;3.105,00;3.040,00;10,74M;-0,96%
6/06/2018;3.015,00;3.080,00;3.105,00;3.005,00;11,05M;-2,11%
7/06/2018;3.060,00;3.015,00;3.080,00;3.015,00;6,63M;1,49%
8/06/2018;3.045,00;3.060,00;3.095,00;3.035,00;6,24M;-0,49%
12/06/2018;3.005,00;3.030,00;3.040,00;3.000,00;9,58M;-1,31%
13/06/2018;3.010,00;2.990,00;3.025,00;2.955,00;6,43M;0,17%
14/06/2018;3.005,00;3.015,00;3.035,00;3.000,00;6,62M;-0,17%
15/06/2018;2.960,00;2.980,00;2.985,00;2.950,00;22,55M;-1,50%
18/06/2018;2.985,00;2.980,00;3.050,00;2.970,00;11,01M;0,84%
19/06/2018;2.905,00;2.980,00;2.995,00;2.905,00;8,41M;-2,68%
20/06/2018;2.875,00;2.905,00;2.965,00;2.875,00;19,88M;-1,03%
21/06/2018;2.845,00;2.870,00;2.890,00;2.830,00;16,29M;-1,04%
22/06/2018;2.880,00;2.890,00;2.915,00;2.880,00;13,62M;1,23%
